0A;GNT;Amber Air
YK;KYV;Cyprus Turkish Airlines
YL;LLM;Yamal Airlines
YM;MGX;Montenegro Airlines
YQ;LCT;TAR Aerolineas
YS;RAE;Régional Compagnie Aérienne Européenne
YT;TGA;Air Togo
YU;ADM;Dominair
YV;ASH;Mesa Airlines
YW;ANE;Air Nostrum
YX;MEP;Midwest Airlines
Z2;Philippines AirAsia;EZD
Z3;SMJ;Avient Aviation
Z4;OOM;Zoom Airlines
Z5;GMG;GMG Airlines
Z6;UDN;Dniproavia
Z7*;ADK;ADC Airlines
Z8;AZN;Línea Aérea Amaszonas
ZA;CYD;AccessAir
ZB;BUB;Air Bourbon
ZE;AZE;Arcus-Air Logistic
ZG;VVM;Viva Macau
ZH;CSZ;Shenzhen Airlines
ZI;AAF;Aigle Azur
ZK;GLA;Great Lakes Airlines
ZL;RXA;Regional Express
ZP;AZP;Amaszonas Paraguay
ZS;AZI;Azzurra Air
ZT;AWC;Titan Airways
ZU;HCY;Helios Airways
ZV;AMW;Air Midwest
ZW;AWI;Air Wisconsin
ZX;ABL;Air BC
ZY;SHY;Sky Airlines
